,film_id,title,inventory_id,rental_id,amount
0,1,ACADEMY DINOSAUR,1,4863,0.99
1,1,ACADEMY DINOSAUR,1,11433,3.99
2,1,ACADEMY DINOSAUR,1,14714,3.99
3,1,ACADEMY DINOSAUR,2,972,1.99
4,1,ACADEMY DINOSAUR,2,2117,0.99
5,1,ACADEMY DINOSAUR,2,4187,0.99
6,1,ACADEMY DINOSAUR,2,9449,1.99
7,1,ACADEMY DINOSAUR,2,15453,1.99
8,1,ACADEMY DINOSAUR,3,10126,0.99
9,1,ACADEMY DINOSAUR,3,15421,0.99
10,1,ACADEMY DINOSAUR,4,10883,0.99
11,1,ACADEMY DINOSAUR,4,14624,0.99
12,1,ACADEMY DINOSAUR,6,361,0.99
13,1,ACADEMY DINOSAUR,6,3201,1.99
14,1,ACADEMY DINOSAUR,6,4390,0.99
15,1,ACADEMY DINOSAUR,6,7168,0.99
16,1,ACADEMY DINOSAUR,6,14098,3.99
17,1,ACADEMY DINOSAUR,7,1210,0.99
18,1,ACADEMY DINOSAUR,7,5766,0.99
19,1,ACADEMY DINOSAUR,7,8510,1.99
20,1,ACADEMY DINOSAUR,7,14798,0.99
21,1,ACADEMY DINOSAUR,8,10141,0.99
22,1,ACADEMY DINOSAUR,8,12651,0.99
23,2,ACE GOLDFINGER,9,10310,4.99
24,2,ACE GOLDFINGER,9,13421,4.99
25,2,ACE GOLDFINGER,10,4364,4.99
26,2,ACE GOLDFINGER,10,7733,9.99
27,2,ACE GOLDFINGER,10,15218,9.99
28,2,ACE GOLDFINGER,11,10992,8.99
29,2,ACE GOLDFINGER,11,11758,8.99
30,3,ADAPTATION HOLES,12,6999,2.99
31,3,ADAPTATION HOLES,12,14882,2.99
32,3,ADAPTATION HOLES,13,11306,2.99
33,3,ADAPTATION HOLES,13,15788,2.99
34,3,ADAPTATION HOLES,14,1033,2.99
35,3,ADAPTATION HOLES,14,1427,2.99
36,3,ADAPTATION HOLES,14,3897,2.99
37,3,ADAPTATION HOLES,14,10437,4.99
38,3,ADAPTATION HOLES,14,11845,2.99
39,3,ADAPTATION HOLES,15,3956,2.99
40,3,ADAPTATION HOLES,15,7586,2.99
41,3,ADAPTATION HOLES,15,12727,2.99
42,4,AFFAIR PREJUDICE,16,6493,2.99
43,4,AFFAIR PREJUDICE,16,8931,2.99
44,4,AFFAIR PREJUDICE,16,15352,6.99
45,4,AFFAIR PREJUDICE,17,995,3.99
46,4,AFFAIR PREJUDICE,17,2090,2.99
47,4,AFFAIR PREJUDICE,17,5682,2.99
48,4,AFFAIR PREJUDICE,17,6970,4.99
49,4,AFFAIR PREJUDICE,17,11714,2.99
50,4,AFFAIR PREJUDICE,18,8331,3.99
51,4,AFFAIR PREJUDICE,18,15199,2.99
52,4,AFFAIR PREJUDICE,19,3506,2.99
53,4,AFFAIR PREJUDICE,19,9863,5.99
54,4,AFFAIR PREJUDICE,19,15174,6.99
55,4,AFFAIR PREJUDICE,20,465,3.99
56,4,AFFAIR PREJUDICE,20,1716,2.99
57,4,AFFAIR PREJUDICE,20,4789,4.99
58,4,AFFAIR PREJUDICE,20,12726,2.99
59,4,AFFAIR PREJUDICE,21,6348,5.99
60,4,AFFAIR PREJUDICE,21,9359,2.99
61,4,AFFAIR PREJUDICE,21,15542,2.99
62,4,AFFAIR PREJUDICE,22,4802,4.99
63,4,AFFAIR PREJUDICE,22,8002,2.99
64,4,AFFAIR PREJUDICE,22,13943,2.99
65,5,AFRICAN EGG,23,552,3.99
66,5,AFRICAN EGG,23,1614,3.99
67,5,AFRICAN EGG,23,6615,4.99
68,5,AFRICAN EGG,23,11129,2.99
69,5,AFRICAN EGG,23,12926,3.99
70,5,AFRICAN EGG,24,2255,4.99
71,5,AFRICAN EGG,24,5362,5.99
72,5,AFRICAN EGG,24,7793,2.99
73,5,AFRICAN EGG,24,13043,4.99
